         427565 function calls (420731 primitive calls) in 1.623 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42/40    0.118    0.003    0.126    0.003 {built-in method _imp.create_dynamic}
     2472    0.117    0.000    0.225    0.000 inspect.py:613(cleandoc)
      283    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
      283    0.072    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:914(get_data)
60614/59806    0.057    0.000    0.059    0.000 {built-in method builtins.len}
     1397    0.042    0.000    0.042    0.000 {built-in method posix.stat}
    28238    0.031    0.000    0.033    0.000 {built-in method builtins.isinstance}
1172/1078    0.027    0.000    0.248    0.000 {built-in method builtins.__build_class__}
    28530    0.027    0.000    0.027    0.000 {method 'lstrip' of 'str' objects}
  389/170    0.027    0.000    0.091    0.001 sre_parse.py:475(_parse)
      283    0.026    0.000    0.026    0.000 {method 'read' of '_io.FileIO' objects}
    20710    0.025    0.000    0.025    0.000 {built-in method builtins.min}
        1    0.024    0.024    0.024    0.024 {method 'dot' of 'numpy.ndarray' objects}
    18765    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
    10733    0.020    0.000    0.030    0.000 mathtext.py:2839(<genexpr>)
    19361    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
      601    0.018    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     3162    0.015    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.015    0.015    0.015    0.015 inspect.py:2720(Signature)
     9817    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
     1193    0.014    0.000    0.048    0.000 {built-in method builtins.any}
  774/165    0.014    0.000    0.039    0.000 sre_compile.py:71(_compile)
      283    0.014    0.000    0.235    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      638    0.013    0.000    0.051    0.000 inspect.py:2117(_signature_from_function)
      588    0.013    0.000    0.071    0.000 inspect.py:1089(getfullargspec)
7125/7121    0.013    0.000    0.017    0.000 {method 'join' of 'str' objects}
     3162    0.013    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       27    0.013    0.000    0.073    0.003 __init__.py:896(_rc_params_in_file)
     5081    0.012    0.000    0.018    0.000 sre_parse.py:164(__getitem__)
     5699    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
     4347    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
     1953    0.010    0.000    0.021    0.000 inspect.py:2467(__init__)
     5744    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
     2163    0.009    0.000    0.173    0.000 re.py:271(_compile)
       12    0.009    0.001    0.129    0.011 artist.py:1260(_get_setters_and_targets)
     2246    0.008    0.000    0.204    0.000 inspect.py:594(getdoc)
      347    0.008    0.000    0.145    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     3560    0.008    0.000    0.017    0.000 sre_parse.py:254(get)
     1792    0.008    0.000    0.083    0.000 __init__.py:762(__setitem__)
     6895    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
 1355/277    0.007    0.000    0.998    0.004 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       30    0.007    0.000    0.007    0.000 {built-in method io.open}
      566    0.007    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      330    0.007    0.000    0.029    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       35    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
      681    0.007    0.000    0.014    0.000 inspect.py:2750(__init__)
     1345    0.006    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     5849    0.006    0.000    0.007    0.000 {method 'get' of 'dict' objects}
    331/1    0.006    0.000    1.616    1.616 <frozen importlib._bootstrap>:663(_load_unlocked)
  926/318    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
     3400    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       12    0.006    0.001    0.014    0.001 enum.py:135(__new__)
      373    0.006    0.000    0.016    0.000 colors.py:185(_to_rgba_no_colorcycle)
    359/1    0.006    0.000    1.616    1.616 <frozen importlib._bootstrap>:978(_find_and_load)
      308    0.006    0.000    0.012    0.000 functools.py:37(update_wrapper)
     5058    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
     2303    0.006    0.000    0.025    0.000 enum.py:284(__call__)
      342    0.006    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      635    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    316/1    0.005    0.000    1.623    1.623 {built-in method builtins.exec}
      641    0.005    0.000    0.060    0.000 inspect.py:2198(_signature_from_callable)
     1614    0.005    0.000    0.133    0.000 artist.py:1302(is_alias)
      408    0.005    0.000    0.128    0.000 artist.py:1224(get_valid_values)
       64    0.005    0.000    0.030    0.000 colors.py:681(from_list)
       12    0.005    0.000    0.010    0.001 artist.py:1207(<listcomp>)
     1519    0.005    0.000    0.017    0.000 re.py:170(match)
      635    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:78(acquire)
     2548    0.005    0.000    0.006    0.000 inspect.py:2799(<genexpr>)
      180    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
     1536    0.004    0.000    0.014    0.000 colors.py:115(_is_nth_color)
      410    0.004    0.000    0.013    0.000 copy.py:66(copy)
       12    0.004    0.000    0.107    0.009 artist.py:1196(get_aliases)
     1045    0.004    0.000    0.027    0.000 colors.py:149(to_rgba)
      635    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:103(release)
