         1510191 function calls (1488920 primitive calls) in 19.089 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68882   14.687    0.000   14.751    0.000 plot_gtex.py:45(linear_search)
        1    0.324    0.324   17.754   17.754 plot_gtex.py:83(main)
143981/143173    0.132    0.000    0.133    0.000 {built-in method builtins.len}
   128276    0.116    0.000    0.116    0.000 {method 'append' of 'list' objects}
     2472    0.114    0.000    0.218    0.000 inspect.py:613(cleandoc)
    28836    0.106    0.000    0.106    0.000 {method 'split' of 'str' objects}
    43/41    0.099    0.002    0.105    0.003 {built-in method _imp.create_dynamic}
    17461    0.089    0.000    0.206    0.000 fromnumeric.py:69(_wrapreduction)
    20174    0.080    0.000    0.080    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      283    0.069    0.000    0.069    0.000 {built-in method marshal.loads}
    22841    0.067    0.000    0.067    0.000 {built-in method numpy.array}
       31    0.064    0.002    0.084    0.003 plot_gtex.py:54(linear_search_all_hits)
    55281    0.063    0.000    0.084    0.000 {built-in method builtins.isinstance}
22855/17337    0.058    0.000    0.126    0.000 artist.py:219(stale)
      283    0.055    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      246    0.054    0.000    0.054    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.050    0.025    0.050    0.025 {built-in method matplotlib._png.write_png}
22053/22051    0.049    0.000    0.189    0.000 __init__.py:798(__getitem__)
    23163    0.035    0.000    0.043    0.000 {built-in method builtins.getattr}
3695/2163    0.033    0.000    0.092    0.000 transforms.py:2395(get_affine)
    29877    0.031    0.000    0.031    0.000 {method 'rstrip' of 'str' objects}
    26801    0.031    0.000    0.031    0.000 artist.py:1003(sticky_edges)
     4901    0.027    0.000    0.027    0.000 {built-in method numpy.dot}
      218    0.027    0.000    0.057    0.000 _base.py:2413(<listcomp>)
      436    0.026    0.000    0.434    0.001 _base.py:2423(handle_single_axis)
    28530    0.026    0.000    0.026    0.000 {method 'lstrip' of 'str' objects}
    21588    0.026    0.000    0.026    0.000 {built-in method builtins.min}
      662    0.026    0.000    0.264    0.000 lines.py:751(draw)
    24811    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
    27227    0.025    0.000    0.025    0.000 {method 'items' of 'dict' objects}
     1402    0.025    0.000    0.025    0.000 {built-in method posix.stat}
      427    0.025    0.000    0.226    0.001 lines.py:273(__init__)
     3062    0.023    0.000    0.058    0.000 transforms.py:726(__init__)
1172/1078    0.023    0.000    0.213    0.000 {built-in method builtins.__build_class__}
    22857    0.022    0.000    0.022    0.000 artist.py:757(get_animated)
    22364    0.022    0.000    0.022    0.000 {function RcParams.__getitem__ at 0x7f106ace3378}
  389/170    0.021    0.000    0.073    0.000 sre_parse.py:475(_parse)
    17461    0.021    0.000    0.021    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.020    0.020    0.020    0.020 {method 'dot' of 'numpy.ndarray' objects}
      283    0.020    0.000    0.020    0.000 {method 'read' of '_io.FileIO' objects}
    11727    0.020    0.000    0.020    0.000 transforms.py:82(__init__)
    10713    0.019    0.000    0.029    0.000 mathtext.py:2839(<genexpr>)
     7275    0.019    0.000    0.030    0.000 transforms.py:1683(__init__)
4886/2313    0.018    0.000    0.024    0.000 transforms.py:137(_invalidate_internal)
      384    0.017    0.000    0.074    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    15994    0.017    0.000    0.017    0.000 transforms.py:946(get_points)
     6708    0.017    0.000    0.093    0.000 fromnumeric.py:2512(amin)
     6715    0.016    0.000    0.085    0.000 fromnumeric.py:2397(amax)
 1768/878    0.016    0.000    0.045    0.000 units.py:139(get_converter)
     1338    0.016    0.000    0.027    0.000 transforms.py:2791(nonsingular)
      334    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    12229    0.016    0.000    0.016    0.000 {built-in method builtins.hasattr}
     1647    0.015    0.000    0.050    0.000 {built-in method builtins.any}
      651    0.015    0.000    0.115    0.000 transforms.py:708(intersection)
     7282    0.015    0.000    0.041    0.000 numeric.py:469(asarray)
      875    0.015    0.000    0.048    0.000 numeric.py:2508(within_tol)
     4988    0.014    0.000    0.035    0.000 transforms.py:1819(__init__)
     1337    0.013    0.000    0.024    0.000 font_manager.py:660(__hash__)
      287    0.013    0.000    0.022    0.000 __init__.py:1673(normalize_kwargs)
      602    0.013    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      588    0.013    0.000    0.068    0.000 inspect.py:1089(getfullargspec)
     1805    0.013    0.000    0.018    0.000 transforms.py:164(set_children)
  774/165    0.013    0.000    0.034    0.000 sre_compile.py:71(_compile)
      638    0.012    0.000    0.049    0.000 inspect.py:2117(_signature_from_function)
    12356    0.012    0.000    0.012    0.000 artist.py:194(axes)
      363    0.012    0.000    0.073    0.000 lines.py:667(recache)
       27    0.012    0.000    0.068    0.003 __init__.py:896(_rc_params_in_file)
